Title,Artist,Year,Genre,FavSong,URL,CoverFile,Country,CountryName,Tags,Comment,Mood_Sad,Mood_Angry,Mood_Happy,Mood_Dark,Mood_Groovy,Mood_Dreamy,Mood_Passion,Notes,Lyric
Moment of Truth,Gang Starr,1998,Boom Bap,Moment of Truth,https://www.youtube.com/watch?v=Rr46FS7tkk4,cover_gang_moment.jpeg,US,USA,,,,,,,,,,,
Time Will Die and Love Will Bury It ,Rolo Tomassi,2018,Post-Metal,A Flood of Light,https://www.youtube.com/watch?v=hM_4Ty_ZHaU,cover_rolo_time.webp,GB,United Kingdom,Deep and Moving,,3,3,2,1,0,3,4,,
Disco Elysium,Sea Power,2019,Post-Rock,Instrument of Surrender ,https://www.youtube.com/watch?v=qMUoWTEIGx4,cover_disco_elysium.jpeg,GB,United Kingdom,"Soundtrack, World Is Cold and Lonely",,3,0,0,0,0,1,0,,
Angel of Salvation,Galneryus,2012,Power Metal,Hunting for Your Dream,https://www.youtube.com/watch?v=K5hVDpq6SFA,cove_galneryus_angel.jpeg,JP,Japan,Pure Awesome,,,,,,,,,,
Wahdon,Fairouz,1979,Mūsīqā lubnāniyya,Al Bosta,https://www.youtube.com/watch?v=VrJnhLmwzbU,cover_fairouz_wahdon.webp,LB,Lebanon,Deep and Moving,,1,0,0,0,2,0,3,,
Thousand Knives of Ryuichi Sakamoto ,Ryuichi Sakamoto,1978,Progressive Electronic,Thousand Knives,https://www.youtube.com/watch?v=IKz0NNemy8M,cover_sakamoto_thousand.png,JP,Japan,Pure Awesome,,0,0,1,0,4,0,0,,
Sometimes I Might Be Introvert,Little Simz,2021,Conscious Hip Hop,Introvert,https://www.youtube.com/watch?v=hxfGQ2AJHG,cover_simz_introvert.jpeg,GB,United Kingdom,Deep and Moving,,,,,,,,,,
Acabou chorare,Novos Baianos,1972,Música Popular Brasileira,Preta pretinha,https://www.youtube.com/watch?v=0FVPQzKw9bk,cover_novos_acabou.jpeg,BR,Brazil,Jump for Joy,,,,,,,,,,
A Boy,Douji Morita,1977,Chamber Folk,蒼き夜は ,https://www.youtube.com/watch?v=xsV5PJLFfJ0,cover_douji_boy.jpeg,JP,Japan,"Tears Please Stop Flowing, Ethereal Sadness",,,,,,,,,,
Bloom,Beach House,2012,Dream Pop,Myth,https://www.youtube.com/watch?v=Bv7IcjmxjGo,cover_beach_bloom.jpeg,US,USA,"Floating Into Bliss, Ethereal Sadness",,3,0,0,0,0,5,1,,
Are We There,Sharon Van Etten,2014,Singer-Songwriter,Your Love Is Killing Me,https://www.youtube.com/watch?v=nyuPWHwZru0,cover_sharon_there.jpeg,US,USA,Tears Please Stop Flowing,,2,0,0,0,0,1,4,,
Either/Or,Elliott Smith,1997,Singer-Songwriter,Ballad of Big Nothing,https://www.youtube.com/watch?v=OalXKnQAZp4,cover_elliott_either.jpeg,US,USA,Tears Please Stop Flowing,,,,,,,,,,
If You're Feeling Sinister ,Belle and Sebastian,1996,Chamber Pop,Like Dylan in the Movies,https://www.youtube.com/watch?v=ePAg7nJyurw,cover_belle_sinister.jpeg,GB,United Kingdom,,,,,,,,,,,
Fresh Fruit for Rotting Vegetables ,The Dead Kennedys,1980,Hardcore Punk,Holiday in Cambodia,https://www.youtube.com/watch?v=v0Uc6ZWDF3c,cover_kennedys_fruit.jpeg,US,USA,Truth to Power,,0,5,0,0,0,0,0,,Punk ain't no religious cult / Punk means thinking for yourself / You ain't hardcore when you spike your hair / When a jock still lives inside your head
Reign in Blood,Slayer,1986,Thrash Metal,Angel of Death,https://www.youtube.com/watch?v=TnRZhLRv6eM,cover_slayer_reign.jpeg,US,USA,Gaze Into the Abyss,,0,4,0,4,0,0,0,,
The Woods,Sleater-Kinney,2005,Indie Rock,Entertain,https://www.youtube.com/watch?v=MbxRu7fwR24,cover_sleater_woods.jpeg,US,USA,,,,,,,,,,,
Moanin’,Art Blakey & The Jazz Messengers,1959,Hard Bop,Moanin’,https://www.youtube.com/watch?v=Cv9NSR-2DwM,cover_art_moanin.png,US,USA,,,0,0,2,0,2,0,0,,
"PetroDragonic Apocalypse; or, Dawn of Eternal Night: An Annihilation of Planet Earth and the Beginning of Merciless Damnation",King Gizzard and The Lizard Wizard,2013,Progressive Metal,Dragon,https://www.youtube.com/watch?v=IpUKO-WKaqo,cover_gizzard_petro.jpeg,AU,Australia,Pure Awesome,,,,,,,,,,
Kokyuu,Lily Chou-Chou,2001,Dream Pop,Arabesque,https://www.youtube.com/watch?v=12mwzwUL7Vk,cover_lily_chou.jpeg,JP,Japan,"Soundtrack, Floating Into Bliss, Ethereal Sadness",,5,0,0,0,0,3,0,,
Seventh Heaven,Kalafina,2009,"J-Pop, Art Pop",Sprinter,https://www.youtube.com/watch?v=edSaT8e65oQ,cover_kalafina_seventh.png,JP,Japan,Deep and Moving,,,,,,,,,,
Keine Macht für Niemand,Ton Steine Scherben,1972,Deutschrock,Die letzte Schlacht gewinnen wir,https://www.youtube.com/watch?v=pW5w6BF1OwU,cover_ton_macht.jpeg,DE,Germany,Truth to Power,,0,4,0,0,1,0,2,,
Punisher,Phoebe Bridgers,2020,Singer-Songwriter,I Know the End,https://www.youtube.com/watch?v=WJ9-xN6dCW4,cover_phoebe_punisher.jpeg,US,USA,Tears Please Stop Flowing,,4,0,0,2,0,1,2,,
Everything Is Fire,Ulcerate,2009,Dissonant Death Metal,Drown Within,https://www.youtube.com/watch?v=LKLa06iaVkc,cover_ulcerate_fire.jpeg,NZ,New Zealand,Gaze Into the Abyss,,,,,,,,,,
Hisohiso banashi,Zutto Mayonaka de Ii no ni,2019,Yakousei,Kansaete Kuyashiiwa,https://www.youtube.com/watch?v=4QePrv24TBU,cover_zutto_mayo.jpeg,JP,Japan,Pure Awesome,,,,,,,,,,
Kimi Wo Omotte Iru,kurayamisaka,2022,Shoegaze,,,,JP,Japan,Floating Into Bliss,,1,0,1,0,0,4,1,,
Songs of a Lost World,The Cure,2024,Gothic Rock,,,,GB,United Kingdom,Gaze Into the Abyss,,4,0,0,4,0,3,0,,"It's all gone, it's all gone / I will lose myself in time / It won't be long"
World of Pleasure & Friends ,World of Pleasure,2022,Metalcore,,,,CA,Canada,,,0,5,0,4,1,0,0,,
Somaru oto wo kakunin shitara,Uchu Conbini,2013,Math Pop,,,,JP,Japan,,,2,0,1,0,0,4,0,,
Pastel Blues,Nina Simone,1965,Rhythm & Blues,,,,US,USA,,,0,3,0,2,0,0,4,,
The Blue Hearts,The Blue Hearts,1987,Pop Punk,,,,JP,Japan,,,1,1,4,0,0,0,3,,
Yoshimi Battles the Pink Robots,The Flaming Lips,2002,Neo-Psychedelia,,,,US,USA,,,3,0,2,0,0,2,1,,Do you realize / That you have the most beautiful face?
Twin Fantasy,Car Seat Headrest,2018,Indie Rock,,,,US,USA,,,3,1,0,0,0,0,4,,
What’s Your Pleasure,Jessie Ware,2020,Dance-Pop,,,,GB,United Kingdom,,,1,0,0,0,3,2,0,,
Today Is a Beautiful Day,supercell,2011,Pop Rock,,,,JP,Japan,,,3,0,5,0,0,0,2,,
Aretha Now,Aretha Franklin,1968,Southern Soul,,,,US,USA,,,0,0,3,0,0,0,3,,
Different Class,Pulp,1995,Britpop,,,,GB,United Kingdom,,,2,1,0,0,0,0,3,,
